cluster,term,root.lemma_,label_,term_count,term_source_freq
2,aviva,aviva,NNP,1,0.047619047619047616
2,election rule,rule,NNS,1,0.047619047619047616
2,response,response,NN,3,0.09523809523809523
2,civil - liberty group,group,NN,1,0.047619047619047616
2,plan,plan,NNS,4,0.19047619047619047
2,status,status,NN,1,0.047619047619047616
2,judge rules nevada gig workers,workers,NNPS,1,0.047619047619047616
2,stop benefit,benefit,NNS,1,0.047619047619047616
2,more covid-19 vaccination megasite,megasite,NNS,1,0.047619047619047616
2,pentagon,pentagon,NNP,1,0.047619047619047616
2,million,million,NNS,4,0.14285714285714285
2,public school student,student,NNS,1,0.047619047619047616
2,school closure,closure,NNS,1,0.047619047619047616
2,education leader,leader,NNS,1,0.047619047619047616
2,the health,health,NNP,1,0.047619047619047616
2,the trump administration,administration,NN,1,0.047619047619047616
2,a lot,lot,NN,1,0.047619047619047616
2,mixed message,message,NNS,1,0.047619047619047616
2,australian covid-19,covid-19,NN,1,0.047619047619047616
2,vaccine candidate,candidate,NNP,1,0.047619047619047616
2,antibody response,response,NNP,1,0.047619047619047616
2,early tests,tests,NNPS,1,0.047619047619047616
2,certain grocery,grocery,NNS,1,0.047619047619047616
2,the store,store,NN,1,0.047619047619047616
2,these national food chain,chain,NNS,1,0.047619047619047616
2,chain necklace,necklace,NNS,1,0.047619047619047616
2,man,man,NNS,4,0.19047619047619047
2,republicans attack republican official,official,NNP,1,0.047619047619047616
2,voting access,access,NNP,1,0.047619047619047616
2,the new covid-19 variant,variant,NNS,1,0.047619047619047616
2,a threat,threat,NN,1,0.047619047619047616
2,trump ad,ad,NN,1,0.047619047619047616
2,kevin mccarthy,mccarthy,NNP,1,0.047619047619047616
2,u.s. election,election,NN,1,0.047619047619047616
2,deborah birx,birx,NNP,1,0.047619047619047616
2,masks,masks,NNPS,1,0.047619047619047616
2,social distance,distance,NNP,2,0.09523809523809523
2,your state,state,NN,1,0.047619047619047616
2,commentary,commentary,NN,1,0.047619047619047616
2,trustworthy leaders,leaders,NNPS,1,0.047619047619047616
2,a pandemic,pandemic,NN,3,0.14285714285714285
2,judge,judge,NNP,4,0.14285714285714285
2,northam 's covid-19,covid-19,NN,1,0.047619047619047616
2,executive order,order,NNS,1,0.047619047619047616
2,house democrats,democrats,NNPS,2,0.09523809523809523
2,borrower ' student debt,debt,NN,1,0.047619047619047616
2,authority,authority,NNS,1,0.047619047619047616
2,green bay casino shooting,shooting,NN,1,0.047619047619047616
2,former employee,employee,NN,1,0.047619047619047616
2,covid-19 ' long - hauler ' patient,patient,NNS,1,0.047619047619047616
2,doctor,doctor,NNS,1,0.047619047619047616
2,anger,anger,NN,1,0.047619047619047616
2,police killing,killing,NNS,1,0.047619047619047616
2,cardinal,cardinal,NNS,1,0.047619047619047616
2,long virus absence,absence,NNP,1,0.047619047619047616
2,hot dog,dog,NNS,1,0.047619047619047616
2,records,records,NNPS,1,0.047619047619047616
2,new york 's coney island,island,NNP,1,0.047619047619047616
2,uber 's mideast business careem,careem,NNP,1,0.047619047619047616
2,recovery slowing,slowing,NN,1,0.047619047619047616
2,infections,infections,NNPS,1,0.047619047619047616
2,bank,bank,NNP,1,0.047619047619047616
2,"184,000 application",application,NNS,1,0.047619047619047616
2,small - business loans,loans,NNP,1,0.047619047619047616
2,sba,sba,NNP,1,0.047619047619047616
2,ottawa,ottawa,NNP,1,0.047619047619047616
2,' covid drug,drug,NNS,1,0.047619047619047616
2,expert,expert,NN,4,0.19047619047619047
2,covid-19 testing capacity,capacity,NN,1,0.047619047619047616
2,expense,expense,NN,1,0.047619047619047616
2,other setting,setting,NNS,1,0.047619047619047616
2,pompeo ramps,ramps,NNP,1,0.047619047619047616
2,diplomatic war,war,NNP,1,0.047619047619047616
2,vaccine rollout,rollout,NN,1,0.047619047619047616
2,' no excuse,excuse,NNS,1,0.047619047619047616
2,moderate democrats,democrats,NNPS,1,0.047619047619047616
2,quick deal,deal,NN,1,0.047619047619047616
2,small - business coronavirus aid,aid,NN,1,0.047619047619047616
2,damian green,green,NNP,1,0.047619047619047616
2,the world,world,NN,2,0.09523809523809523
2,conservative environmental leadership,leadership,NN,1,0.047619047619047616
2,tension,tension,NNS,1,0.047619047619047616
2,trump administration,administration,NN,1,0.047619047619047616
2,expulsion,expulsion,NN,1,0.047619047619047616
2,u.s. reporter,reporter,NNS,1,0.047619047619047616
2,staff member,member,NN,1,0.047619047619047616
2,contact,contact,NN,1,0.047619047619047616
2,all kid ' test,test,NNS,1,0.047619047619047616
2,spain 's deputy pm carmen calvo,calvo,NNP,1,0.047619047619047616
2,respiratory infection,infection,NN,1,0.047619047619047616
2,eu,eu,NNP,3,0.09523809523809523
2,1 billion euro,euro,NNS,1,0.047619047619047616
2,vaccine production hubs,hubs,NNP,1,0.047619047619047616
2,africa,africa,NNP,1,0.047619047619047616
2,social media ceo,ceo,NNS,1,0.047619047619047616
2,bias claim,claim,NNS,1,0.047619047619047616
2,fight,fight,NNP,4,0.14285714285714285
2,cancer,cancer,NNP,3,0.14285714285714285
2,virus pandemic,pandemic,NNP,1,0.047619047619047616
2,spanish home - buyer,buyer,NNS,1,0.047619047619047616
2,hhs watchdog,watchdog,NN,1,0.047619047619047616
2,severe hospital shortage,shortage,NNS,1,0.047619047619047616
2,georgia coronavirus infections,infections,NNPS,1,0.047619047619047616
2,the 2020 election season,season,NN,1,0.047619047619047616
2,bahrain now 2nd nation,nation,NN,1,0.047619047619047616
2,to grant pfizer shot emergency use,use,NNP,1,0.047619047619047616
2,hawaii ’s quarantine,quarantine,NN,1,0.047619047619047616
2,gop lawmakers,lawmakers,NNPS,1,0.047619047619047616
2,bill,bill,NNP,2,0.047619047619047616
2,how to judge,judge,NNP,1,0.047619047619047616
2,facebook ’s new judges,judges,NNPS,1,0.047619047619047616
2,congressional staffer,staffer,NNS,1,0.047619047619047616
2,coronavirus vaccine,vaccine,NN,3,0.14285714285714285
2,dr hilary,hilary,NNP,2,0.047619047619047616
2,most people,people,NNS,2,0.09523809523809523
2,paper money,money,NN,1,0.047619047619047616
2,frontline immigrant worker,worker,NNS,1,0.047619047619047616
2,citizenship,citizenship,NN,1,0.047619047619047616
2,india ’s islamophobia,islamophobia,NNP,1,0.047619047619047616
2,nepal,nepal,NNP,1,0.047619047619047616
2,president trump tests,tests,NNPS,1,0.047619047619047616
2,lockdown party,party,NNS,1,0.047619047619047616
2,resident,resident,NNS,1,0.047619047619047616
2,ucc pledge complaint,complaint,NN,1,0.047619047619047616
2,prtb,prtb,NNP,1,0.047619047619047616
2,an update,update,NN,1,0.047619047619047616
2,60 minutes ' story,story,NN,1,0.047619047619047616
2,hard times generation,generation,NNP,1,0.047619047619047616
2,ely,ely,NNP,1,0.047619047619047616
2,new details,details,NNPS,1,0.047619047619047616
2,fatal shooting,shooting,NNS,1,0.047619047619047616
2,california police,police,NNS,1,0.047619047619047616
2,ap interview,interview,NNP,1,0.047619047619047616
2,us envoy,envoy,NNP,2,0.047619047619047616
2,iran arms embargo renewal,renewal,NNP,1,0.047619047619047616
2,lucille ball biopic amazon release date,date,NNP,1,0.047619047619047616
2,cast,cast,NNP,1,0.047619047619047616
2,plot,plot,NN,1,0.047619047619047616
2,dr. lapook,lapook,NNP,1,0.047619047619047616
2,mask,mask,NN,6,0.23809523809523808
2,mayo clinic,clinic,NNP,1,0.047619047619047616
2,"amazon ’s free , fast delivery",delivery,NNP,1,0.047619047619047616
2,granted,granted,NNP,1,0.047619047619047616
2,unemployment benefit,benefit,NNS,1,0.047619047619047616
2,cheesecake factory,factory,NN,1,0.047619047619047616
2,april rent check,check,NNS,1,0.047619047619047616
2,the mail,mail,NN,1,0.047619047619047616
2,alcoholics anonymous,anonymous,NNP,1,0.047619047619047616
2,new member,member,NNS,1,0.047619047619047616
2,the shutdown,shutdown,NN,1,0.047619047619047616
2,a surge,surge,NN,1,0.047619047619047616
2,uconn,uconn,NNP,1,0.047619047619047616
2,57 residential students,students,NNPS,1,0.047619047619047616
2,isolation,isolation,NN,1,0.047619047619047616
2,a doctor,doctor,NN,1,0.047619047619047616
2,civic hall,hall,NNP,1,0.047619047619047616
2,peaceful black life,life,NNS,1,0.047619047619047616
2,matter protest,protest,NN,1,0.047619047619047616
2,a safe thanksgiving,thanksgiving,NNP,1,0.047619047619047616
2,race,race,NN,2,0.09523809523809523
2,a biotech stock bubble,bubble,NN,1,0.047619047619047616
