,cluster,term,label_,term_count,term_source_freq
115,0,100%,PERCENT,2,0.06896551724137931
116,0,350,CARDINAL,1,0.034482758620689655
117,0,"100,000 Gallons",QUANTITY,1,0.034482758620689655
118,0,NY,GPE,4,0.13793103448275862
119,0,PAUL CRAIG ROBERTS COVID,PERSON,1,0.034482758620689655
120,0,ABC,ORG,1,0.034482758620689655
121,0,Jon Karl,PERSON,1,0.034482758620689655
122,0,Donald Trump,PERSON,1,0.034482758620689655
123,0,Sweden,GPE,8,0.20689655172413793
124,0,Pro-Migrant Protest Goes Ahead,ORG,1,0.034482758620689655
125,0,NYPD Confiscates Drone Belonging To Freelance Photojournalist Documenting NYC’s,ORG,2,0.034482758620689655
126,0,Lockdowns,PERSON,3,0.06896551724137931
127,0,only 8%,PERCENT,1,0.034482758620689655
128,0,Mayfly Madness:,WORK_OF_ART,1,0.034482758620689655
129,0,This Massive Swarm of Mayflies Was So Big,WORK_OF_ART,1,0.034482758620689655
130,0,the Mississippi River,LOC,1,0.034482758620689655
131,0,60 Minutes Slammed For Fabricating,TIME,1,0.034482758620689655
132,0,DeSantis,PERSON,1,0.034482758620689655
133,0,400,CARDINAL,1,0.034482758620689655
134,0,UN,ORG,2,0.06896551724137931
135,0,Washington State,GPE,1,0.034482758620689655
136,0,Bioweaponized COVID Vaccines,ORG,1,0.034482758620689655
137,0,"3,486",CARDINAL,1,0.034482758620689655
138,0,4 Months,DATE,1,0.034482758620689655
139,0,the Past 15 Years,DATE,1,0.034482758620689655
140,0,Florida,GPE,4,0.13793103448275862
141,0,COVID Cases Are Growing the Most,ORG,1,0.034482758620689655
142,0,Philip Giraldi,PERSON,1,0.034482758620689655
143,0,Recessional,PERSON,1,0.034482758620689655
144,0,Germany,GPE,6,0.13793103448275862
145,0,Ministry of the Interior Hired Scientists to Justify “Tough Corona Measures,ORG,1,0.034482758620689655
146,0,The Chinese Regime,ORG,1,0.034482758620689655
147,0,Sun Tzu,PERSON,1,0.034482758620689655
148,0,The Art of War,WORK_OF_ART,1,0.034482758620689655
149,0,52,MONEY,1,0.034482758620689655
150,0,One-Third of Deaths,CARDINAL,1,0.034482758620689655
151,0,COVID Vaccines,ORG,2,0.06896551724137931
152,0,48 Hours,TIME,1,0.034482758620689655
153,0,Medical Journal’s,ORG,1,0.034482758620689655
154,0,Common Sense,WORK_OF_ART,1,0.034482758620689655
155,0,Nathan Buckley,PERSON,1,0.034482758620689655
156,0,Victorian,NORP,1,0.034482758620689655
157,0,Dan Andrews,PERSON,1,0.034482758620689655
158,0,New Precrime Program,ORG,1,0.034482758620689655
159,0,Mark Sexton,PERSON,1,0.034482758620689655
160,0,Sexton,PERSON,1,0.034482758620689655
161,0,Yellow Card,ORG,1,0.034482758620689655
162,0,only between 1% and 10%,PERCENT,1,0.034482758620689655
163,0,Brazilian,NORP,1,0.034482758620689655
164,0,Drive,PERSON,1,0.034482758620689655
165,0,Sammy Sosa,PERSON,1,0.034482758620689655
166,0,Spread Globally,WORK_OF_ART,1,0.034482758620689655
167,0,Boris Johnson,PERSON,1,0.034482758620689655
168,0,Britain,GPE,2,0.034482758620689655
169,0,Keir Starmer,PERSON,1,0.034482758620689655
170,0,Beijing Beefs Up Security Ahead,ORG,1,0.034482758620689655
171,0,Erdogan,PERSON,1,0.034482758620689655
172,0,Turkey,GPE,2,0.06896551724137931
173,0,Syria,GPE,1,0.034482758620689655
174,0,Coronavirus Lockdowns,PERSON,1,0.034482758620689655
175,0,COVID-19 Vaccine,PERSON,1,0.034482758620689655
176,0,Ranger,PERSON,1,0.034482758620689655
177,0,Kanye West,PERSON,1,0.034482758620689655
178,0,Kentucky,GPE,1,0.034482758620689655
179,0,November,DATE,2,0.06896551724137931
180,0,UK Police Force Forbids “Counter-Protest,ORG,1,0.034482758620689655
181,0,Afghanistan,GPE,1,0.034482758620689655
182,0,Benjamin Netanyahu,PERSON,1,0.034482758620689655
183,0,Microchipping Kids,WORK_OF_ART,1,0.034482758620689655
184,0,India,GPE,2,0.06896551724137931
185,0,France,GPE,1,0.034482758620689655
186,0,A Bunch Of People Spouting Something That Isn’t True,WORK_OF_ART,1,0.034482758620689655
187,0,NHS Board,ORG,1,0.034482758620689655
188,0,Leftists,NORP,1,0.034482758620689655
189,0,Democrats Spread Fake News,ORG,1,0.034482758620689655
190,0,Senate,ORG,6,0.13793103448275862
191,0,It’s Murder,WORK_OF_ART,1,0.034482758620689655
192,0,It’s Out Of A Horror Movie,WORK_OF_ART,1,0.034482758620689655
193,0,Jacob Blake,PERSON,1,0.034482758620689655
194,0,Congressional,NORP,1,0.034482758620689655
195,0,Mike Detmer,PERSON,1,0.034482758620689655
196,0,Cornell University,ORG,1,0.034482758620689655
197,0,COVID Cases & Deaths Have Slowed,ORG,2,0.06896551724137931
198,0,The Global Elite’s Campaign Against Humanity,ORG,1,0.034482758620689655
199,0,Coronavirus Fulfills,PERSON,1,0.034482758620689655
200,0,Koch,PERSON,1,0.034482758620689655
201,0,Rothbard,PERSON,1,0.034482758620689655
202,0,Anthony Fauci,PERSON,4,0.13793103448275862
203,0,Gates,PERSON,1,0.034482758620689655
204,0,Austria,GPE,1,0.034482758620689655
205,0,Front Of Parliament – Guess What The Results Were (Video,ORG,1,0.034482758620689655
206,0,Newsweek,ORG,2,0.06896551724137931
207,0,Denial Mode,LOC,1,0.034482758620689655
208,0,Scan Your Code,WORK_OF_ART,1,0.034482758620689655
209,0,the ‘First Wave’ Despite Schools Being Open – Leading Academic Quits After Intimidation and Threats for His Findings,EVENT,1,0.034482758620689655
210,0,Bishop Schneider,PERSON,1,0.034482758620689655
211,0,June 15th 2020,DATE,1,0.034482758620689655
212,0,"Leaderless, Bankrupt America",ORG,1,0.034482758620689655
213,0,Throes of Chaos and Revolution,FAC,1,0.034482758620689655
214,0,Chicom,NORP,1,0.034482758620689655
215,0,Democratic Party,ORG,1,0.034482758620689655
216,0,Coronavirus Bioweapon Attack Upon America,PERSON,1,0.034482758620689655
217,0,French,NORP,3,0.10344827586206896
218,0,30,CARDINAL,1,0.034482758620689655
219,0,The Second Amendment’s Right,LAW,1,0.034482758620689655
220,0,Bear Arms,ORG,1,0.034482758620689655
221,0,Kamala Harris,PERSON,1,0.034482758620689655
222,0,KKK,ORG,1,0.034482758620689655
223,0,Virginia Churches Shutdown Statewide – Post-Birth Abortion Advocate,ORG,1,0.034482758620689655
224,0,Northam,PERSON,1,0.034482758620689655
225,0,South Korea,GPE,2,0.06896551724137931
226,0,Iran,GPE,1,0.034482758620689655
227,0,Lebanon,GPE,1,0.034482758620689655
228,0,Israel,GPE,6,0.13793103448275862
229,0,UK,GPE,17,0.41379310344827586
230,0,Australian,NORP,4,0.13793103448275862
231,0,Kirsten Gillibrand,PERSON,1,0.034482758620689655
232,0,Hispanic,NORP,1,0.034482758620689655
233,0,Growth In Party’s,ORG,1,0.034482758620689655
234,0,ITV,ORG,1,0.034482758620689655
235,0,Labour Party,ORG,1,0.034482758620689655
236,0,Digital Hate Group,ORG,1,0.034482758620689655
237,0,Davos,GPE,1,0.034482758620689655
238,0,Sunday,DATE,1,0.034482758620689655
239,0,THOUSANDS,CARDINAL,1,0.034482758620689655
240,0,Dennis Prager,PERSON,1,0.034482758620689655
241,0,Lynn Marie Maher,PERSON,1,0.034482758620689655
242,0,1 A.M.,TIME,1,0.034482758620689655
243,0,White Mother,ORG,1,0.034482758620689655
244,0,Four Murdered by Black Male,WORK_OF_ART,1,0.034482758620689655
245,0,US Over Pipeline Sanctions,ORG,1,0.034482758620689655
246,0,Microsoft,ORG,2,0.06896551724137931
247,0,New Cyberattack,GPE,1,0.034482758620689655
248,0,Group Linked,ORG,1,0.034482758620689655
249,0,Paris Plunges Into Chaos As Protesters Denounce New Security Law,ORG,1,0.034482758620689655
250,0,QAnon,PERSON,1,0.034482758620689655
251,0,May 31st to June 1st,DATE,1,0.034482758620689655
252,0,4370 to 4384,CARDINAL,1,0.034482758620689655
253,0,Italy,GPE,4,0.10344827586206896
254,0,Americans,NORP,8,0.2413793103448276
255,0,"2,000",MONEY,1,0.034482758620689655
256,0,George Soros,PERSON,1,0.034482758620689655
257,0,$130M,MONEY,1,0.034482758620689655
258,0,Joe Biden,PERSON,1,0.034482758620689655
259,0,30 million,CARDINAL,2,0.06896551724137931
260,0,the last 6 weeks,DATE,1,0.034482758620689655
261,0,27,CARDINAL,1,0.034482758620689655
262,0,2014,DATE,1,0.034482758620689655
263,0,Azerbaijan,GPE,1,0.034482758620689655
264,0,Operation Coronavirus,PERSON,1,0.034482758620689655
265,0,Working Hand,ORG,1,0.034482758620689655
266,0,2019,CARDINAL,1,0.034482758620689655
267,0,Kovid,PERSON,1,0.034482758620689655
268,0,Anderson Cooper,PERSON,1,0.034482758620689655
269,0,De Blasio,PERSON,2,0.06896551724137931
270,0,BLM Protests & Church Are ‘Apples and Oranges’,ORG,1,0.034482758620689655
271,0,Digital Tech To Cut Off Access To Land Rights,ORG,1,0.034482758620689655
272,0,99%,PERCENT,1,0.034482758620689655
273,0,McConnell,PERSON,1,0.034482758620689655
274,0,The White House,ORG,1,0.034482758620689655
275,0,Nuremberg,GPE,1,0.034482758620689655
276,0,Global Health Risk,WORK_OF_ART,1,0.034482758620689655
277,0,Berlin Nursing Home,ORG,1,0.034482758620689655
278,0,NY Legislation Would Force Covid Vaccine,ORG,1,0.034482758620689655
279,0,Tanzania,GPE,1,0.034482758620689655
280,0,Columbia Journalism,ORG,1,0.034482758620689655
281,0,Millions,CARDINAL,1,0.034482758620689655
282,0,Control News Outlets,ORG,1,0.034482758620689655
283,0,Social Media,ORG,1,0.034482758620689655
284,0,"100,000",CARDINAL,1,0.034482758620689655
285,0,the Kenosha Riots,ORG,1,0.034482758620689655
286,0,About One-Fifth Of All The Jobs,CARDINAL,1,0.034482758620689655
287,0,Russia,GPE,6,0.13793103448275862
288,0,ECB,ORG,1,0.034482758620689655
289,0,Christine Lagarde Defends,PERSON,1,0.034482758620689655
290,0,Negative Interest Rates,ORG,1,0.034482758620689655
291,0,2 billion,CARDINAL,1,0.034482758620689655
292,0,Oxford,ORG,1,0.034482758620689655
293,0,$750m,MONEY,1,0.034482758620689655
294,0,Largest Bee Farm,ORG,1,0.034482758620689655
295,0,Trust the Plan,WORK_OF_ART,1,0.034482758620689655
296,0,10-day,DATE,1,0.034482758620689655
297,0,Pence,PERSON,1,0.034482758620689655
298,0,6th,ORDINAL,1,0.034482758620689655
299,0,daily,DATE,3,0.034482758620689655
300,0,Pompeo,ORG,1,0.034482758620689655
301,0,Joe Biden,PERSON,8,0.20689655172413793
302,0,Matt Drudge,PERSON,1,0.034482758620689655
303,0,DENVER & PORTLAND,ORG,1,0.034482758620689655
304,0,NATIONAL GUARD CALLED,ORG,1,0.034482758620689655
305,0,223,CARDINAL,1,0.034482758620689655
306,0,IVERMECTIN,ORG,1,0.034482758620689655
307,0,Another ‘Health’ Myth Dies the Death,ORG,1,0.034482758620689655
308,0,New Normal,WORK_OF_ART,1,0.034482758620689655
309,0,Obama,PERSON,1,0.034482758620689655
310,0,Trump Hits Back,ORG,1,0.034482758620689655
311,0,"16,000",CARDINAL,1,0.034482758620689655
312,0,Doctors & Scientists Sign Declaration Strongly Opposing,ORG,1,0.034482758620689655
313,0,Michael O’Neill,PERSON,1,0.034482758620689655
314,0,Biden Readies Executive Orders,ORG,1,0.034482758620689655
315,0,Virginia Republican Backs,ORG,1,0.034482758620689655
316,0,Flint Water Crisis,ORG,1,0.034482758620689655
317,0,Rick Snyder,PERSON,1,0.034482758620689655
318,0,Bill Gates’ Plan To Chip the World Explained,PERSON,1,0.034482758620689655
319,0,Supreme Court,ORG,2,0.06896551724137931
320,0,SUMPTION,PERSON,1,0.034482758620689655
321,0,Government,ORG,1,0.034482758620689655
322,0,Moderna Covid-19,PERSON,1,0.034482758620689655
323,0,Over 50%,PERCENT,1,0.034482758620689655
324,0,2-3 Months,DATE,1,0.034482758620689655
325,0,Own Nothing and Be Happy,WORK_OF_ART,1,0.034482758620689655
326,0,2030,DATE,1,0.034482758620689655
327,0,North Macedonia Accession,LOC,1,0.034482758620689655
328,0,NATO Aims,ORG,1,0.034482758620689655
329,0,Multipolarity,GPE,1,0.034482758620689655
330,0,Ukraine,GPE,2,0.06896551724137931
331,0,Russian,NORP,1,0.034482758620689655
332,0,Francis,PERSON,3,0.06896551724137931
333,0,Ratzinger,PERSON,1,0.034482758620689655
334,0,Nancy Pelosi,PERSON,1,0.034482758620689655
335,0,FED TO PRINT,ORG,1,0.034482758620689655
336,0,$9.5 TRILLION,MONEY,1,0.034482758620689655
337,0,Steven Mosher’s,PERSON,1,0.034482758620689655
338,0,Wuhan,GPE,3,0.06896551724137931
339,0,Supreme Court to Rule,ORG,1,0.034482758620689655
340,0,Coming Weeks,DATE,1,0.034482758620689655
341,0,Obamacare,ORG,1,0.034482758620689655
342,0,second,ORDINAL,2,0.06896551724137931
343,0,Catholic,NORP,2,0.034482758620689655
344,0,Lockdown,PERSON,1,0.034482758620689655
