source,factuality_old,pro-science,display_name,country,website,category,labels.bias,labels.factuality,media_type,labels.conspiracy,labels.pseudoscience
returntonow,1.0,0,Return to Now,USA,https://returntonow.net/,conspiracy,,1.0,,2.0,5.0
reuters,5.0,0,Reuters,United Kingdom (34/180 Press Freedom),https://www.reuters.com,center,,5.0,News Agency,,
revolutionradio,1.0,0,Revolution Radio,USA,http://revolutionradio.org,conspiracy,,1.0,,5.0,5.0
rightwingwatch,4.0,0,Right Wing Watch,USA (44/180 Press Freedom),https://www.rightwingwatch.org/,left,left,4.0,Organization/Foundation,,
rollcall,5.0,0,Roll Call,USA (44/180 Press Freedom),https://www.rollcall.com,center,,5.0,Newspaper,,
rtnews,0.0,0,RT News (RT.Com) - Media Bias/Fact Check,Russia (149/180 Press Freedom),https://www.rt.com/news/,questionable-source,rightcenter,0.0,TV Station,,
russiainsider,1.0,0,Russia Insider,Russia,https://russia-insider.com/,questionable-source,extremeright,1.0,,,
sanevax,1.0,0,SaneVax,USA (44/180 Press Freedom),https://sanevax.org/,conspiracy,,1.0,Website,3.0,5.0
scienceblogs,4.0,1,ScienceBlogs,USA,https://scienceblogs.com/,pro-science,,4.0,,,
sciencevibe,2.0,0,Science Vibe,USA,https://sciencevibe.com,conspiracy,,2.0,,3.0,3.0
scientificamerican,4.0,1,Scientific American,USA (45/180 Press Freedom),https://www.scientificamerican.com/,pro-science,,4.0,Magazine,,
sgtreport,1.0,0,SGT Report,Unknown,https://www.sgtreport.com/,conspiracy,,1.0,,4.0,3.0
shadowproof,4.0,0,Shadow Proof,,https://shadowproof.com,left,left,4.0,Organization/Foundation,,
shareblue,2.0,0,Shareblue,USA,https://shareblue.com/,left,left,2.0,,,
shoebat,1.0,0,Shoebat,USA,http://shoebat.com/,conspiracy,,1.0,,4.0,4.0
shtfplan,2.0,0,SHTFplan.com - Media Bias/Fact Check,USA (44/180 Press Freedom),https://www.shtfplan.com/,questionable-source,extremeright,1.0,Website,,
signsofthetimessott,2.0,0,Signs of the Times (SOTT),USA,https://www.sott.net/,conspiracy,,1.0,,4.0,4.0
skeptiko,0.0,0,Skeptiko,USA,https://skeptiko.com/,conspiracy,,0.0,,4.0,5.0
slate,4.0,0,Slate,USA (45/180 Press Freedom),https://slate.com,left,left,4.0,Website,,
southfront,,0,South Front,Russia,https://southfront.org/,conspiracy,,1.0,,4.0,2.0
sputniknews,0.0,0,Sputnik News,Russia,http://sputniknews.com/,questionable-source,right,0.0,,,
stillnessinthestorm,1.0,0,Stillness in the Storm,USA,https://stillnessinthestorm.com/,conspiracy,,1.0,,5.0,4.0
summitnews,1.0,0,Summit News,USA (45/180 Press Freedom),https://summit.news,questionable-source,extremeright,1.0,Website,,
sustainablepulse,1.0,0,Sustainable Pulse,USA,https://sustainablepulse.com/,conspiracy,,1.0,,2.0,4.0
talkingpointsmemo,3.0,0,Talking Points Memo,USA (44/180 Press Freedom),https://talkingpointsmemo.com,left,left,3.0,Website,,
tass,2.0,0,Russian News Agency-TASS,Russia,https://tass.com/,questionable-source,rightcenter,2.0,,,
techxplore,4.0,1,TechXplore,United Kingdom,https://techxplore.com/,pro-science,,4.0,,,
theamericanconservative,4.0,0,The American Conservative,USA (44/180 Press Freedom),https://www.theamericanconservative.com,right-center,rightcenter,3.0,Magazine,,
theantimedia,2.0,0,The Anti-Media,USA,https://theantimedia.com/,conspiracy,,2.0,,3.0,3.0
theatlantic,4.0,0,The Atlantic,USA (45/180 Press Freedom),https://www.theatlantic.com/,leftcenter,leftcenter,4.0,Magazine,,
thebl,2.0,0,The BL,USA (45/180 Press Freedom),https://thebl.com/,questionable-source,right,2.0,Website,,
theblaze,2.0,0,The Blaze,USA (45/180 Press Freedom),https://www.theblaze.com/,questionable-source,right,2.0,TV Station,,
thebulwark,4.0,0,The Bulwark,USA (44/180 Press Freedom),https://thebulwark.com/,right-center,rightcenter,4.0,Website,,
thecollegefix,2.0,0,The College Fix,USA (45/180 Press Freedom),https://www.thecollegefix.com/,right,right,2.0,Organization/Foundation,,
theconservativetreehouse,1.0,0,The Last Refuge (Conservative Treehouse),USA (44/180 Press Freedom),https://theconservativetreehouse.com/,questionable-source,extremeright,1.0,Website,,
thecorbettreport,1.0,0,The Corbett Report,Japan (66/180 Press Freedom),https://www.corbettreport.com,conspiracy,,1.0,Website,5.0,3.0
thedailyconspiracy,1.0,0,The Daily Conspiracy,,https://thedailyconspiracy.com,conspiracy,,1.0,,5.0,4.0
thedailysheeple,1.0,0,The Daily Sheeple,Unknown,https://www.thedailysheeple.com/,conspiracy,,1.0,,4.0,2.0
thedcclothesline,1.0,0,The D.C. Clothesline - Media Bias/Fact Check,USA,http://www.dcclothesline.com/,questionable-source,extremeright,1.0,,,
theduran,1.0,0,The Duran,Cyrpus (26/180 Press Freedom),https://theduran.com/,questionable-source,extremeright,1.0,Website,,
theepochtimes,2.0,0,The Epoch Times,USA (44/180 Press Freedom),https://www.theepochtimes.com,questionable-source,right,2.0,Newspaper,,
theeuropeanuniontimes,2.0,0,The European Union Times,Unknown,https://www.eutimes.net/,conspiracy,,2.0,,4.0,3.0
thefiscaltimes,4.0,0,The Fiscal Times,USA,http://www.thefiscaltimes.com/,right-center,rightcenter,4.0,,,
thegatewaypundit,1.0,0,The Gateway Pundit,USA (44/180 Press Freedom),https://www.thegatewaypundit.com/,questionable-source,extremeright,0.0,Website,,
thegreanvillepostbiasrating,2.0,0,The Greanville Post,USA,https://www.greanvillepost.com/,conspiracy,,2.0,,3.0,3.0
theguardian,2.0,0,The Guardian,United Kingdom (33/180 Press Freedom),https://www.theguardian.com,leftcenter,leftcenter,2.0,Newspaper,,
theheartysoul,2.0,0,The Hearty Soul,Canada,http://theheartysoul.com/,conspiracy,,2.0,,2.0,4.0
thehill,3.0,0,The Hill,USA (45/180 Press Freedom),https://thehill.com/,center,,3.0,Newspaper,,
theindependent,2.0,0,The Independent UK,United Kingdom (33/180 Press Freedom),https://www.independent.co.uk/us,leftcenter,leftcenter,2.0,Newspaper,,
theintercept,3.0,0,The Intercept,USA (45/180 Press Freedom),https://theintercept.com/,leftcenter,left,3.0,Website,,
theirishtimes,4.0,0,The Irish Times,Ireland,http://www.irishtimes.com/,leftcenter,leftcenter,4.0,,,
thejakartapost,3.0,0,The Jakarta Post,Indonesia,https://www.thejakartapost.com/,leftcenter,leftcenter,3.0,,,
thejerusalempost,,0,The Jerusalem Post,Israel (86/180 Press Freedom),https://www.jpost.com/,right-center,rightcenter,3.0,Newspaper,,
thelibertybeacon,1.0,0,The Liberty Beacon,USA,http://www.thelibertybeacon.com/,conspiracy,,1.0,,5.0,5.0
thelibertydaily,2.0,0,The Liberty Daily,USA,https://thelibertydaily.com/,questionable-source,extremeright,2.0,,,
themillenniumreport,1.0,0,The Millennium Report,USA,http://themillenniumreport.com,questionable-source,extremeright,1.0,,,
themindunleashed,1.0,0,The Mind Unleashed,USA,https://themindunleashed.com/,conspiracy,,1.0,,4.0,4.0
thenation,4.0,0,The Nation,USA (45/180 Press Freedom),https://www.thenation.com/,left,left,4.0,Magazine,,
theremnantnewspaper,1.0,0,The Remnant Newspaper,USA (44/180 Press Freedom),https://remnantnewspaper.com,questionable-source,extremeright,1.0,Newspaper,,
therightscoop,2.0,0,The Right Scoop,Canada (14/180 Press Freedom),http://therightscoop.com/,questionable-source,right,2.0,Website,,
theroot,3.0,0,The Root,USA (44/180 Press Freedom),https://www.theroot.com/,left,left,3.0,Website,,
thescientist,5.0,1,The Scientist,USA (44/180 Press Freedom),https://www.the-scientist.com/,pro-science,,5.0,Magazine,,
thesmokinggun,4.0,0,The Smoking Gun,USA,http://www.thesmokinggun.com/,center,,4.0,,,
thestream,2.0,0,The Stream,USA (44/180 Press Freedom),https://stream.org/,conspiracy,,2.0,Organization/Foundation,3.0,4.0
thesun,2.0,0,The Sun,United Kingdom (35/180 Press Freedom),https://www.thesun.co.uk/,right,right,2.0,Newspaper,,
thetennesseestar,2.0,0,The Tennessee Star,USA (44/180 Press Freedom),http://tennesseestar.com/,right,right,2.0,Website,,
thetrumpet,2.0,0,The Trumpet,USA (45/180 Press Freedom),https://www.thetrumpet.com/,conspiracy,,2.0,Magazine,3.0,3.0
thetruthaboutcancer,1.0,0,The Truth About Cancer,USA,https://thetruthaboutcancer.com/,conspiracy,,2.0,,2.0,5.0
thevaccinereaction,1.0,0,The Vaccine Reaction,USA (45/180 Press Freedom),,conspiracy,,1.0,Organization/Foundation,3.0,5.0
theverge,4.0,0,The Verge,USA (44/180 Press Freedom),https://www.theverge.com/,leftcenter,leftcenter,4.0,Website,,
thewashingtonstandard,,0,The Washington Standard,USA (44/180 Press Freedom),http://thewashingtonstandard.com/,questionable-source,extremeright,1.0,Website,,
theweekuk,4.0,0,The Week UK,United Kingdom,https://www.theweek.co.uk,leftcenter,leftcenter,4.0,,,
thewrap,2.0,0,TheWrap,USA,https://www.thewrap.com,leftcenter,leftcenter,2.0,,,
thinkingmomsrevolution,1.0,0,,,,,,,,,
thinkprogress,2.0,0,Think Progress,USA,https://thinkprogress.org/,left,left,2.0,,,
thoughtcatalog,2.0,0,Thought Catalog,USA,https://thoughtcatalog.com/,conspiracy,,2.0,,1.0,3.0
thoughtcrimeradio,1.0,0,Thought Crime Radio,,http://thoughtcrimeradio.net,conspiracy,,1.0,,5.0,5.0
trueactivist,1.0,0,True Activist,Germany,http://www.trueactivist.com/,questionable-source,extremeleft,1.0,,,
truepundit,1.0,0,True Pundit,USA,https://truepundit.com/,conspiracy,,1.0,,4.0,3.0
trunews,1.0,0,TruNews,USA,https://www.trunews.com/,conspiracy,,1.0,,5.0,4.0
truthout,2.0,0,TruthOut,USA (45/180 Press Freedom),https://truthout.org/,left,left,2.0,Organization/Foundation,,
truththeory,4.0,0,Truth Theory,United Kingdom,https://truththeory.com,left,left,4.0,Organization/Foundation,,
ukcolumn,2.0,0,UK Column,United Kingdom (35/180 Press Freedom),https://www.ukcolumn.org,conspiracy,,1.0,Newspaper,4.0,3.0
upi,4.0,0,United Press International (UPI),USA (44/180 Press Freedom),https://www.upi.com,center,,4.0,News Agency,,
usahitman,1.0,0,USA Hitman,Unknown,https://usahitman.com/,conspiracy,,1.0,,5.0,4.0
usatoday,4.0,0,USA Today,USA (45/180 Press Freedom),https://www.usatoday.com,leftcenter,leftcenter,4.0,Newspaper,,
usawatchdogcom,1.0,0,USAWatchdog.com - Media Bias/Fact Check,USA,https://usawatchdog.com,conspiracy,,1.0,,5.0,5.0
vanityfair,3.0,0,Vanity Fair,USA (45/180 Press Freedom),https://www.vanityfair.com,left,left,3.0,Magazine,,
vaxxter,1.0,0,Vaxxter,,https://vaxxter.com,conspiracy,,1.0,,4.0,5.0
vdare,1.0,0,VDARE,USA,https://vdare.com/,questionable-source,extremeright,1.0,,,
veteranstoday,0.0,0,Veterans Today,USA,https://www.veteranstoday.com/,conspiracy,,0.0,,5.0,2.0
vigilantcitizen,1.0,0,Vigilant Citizen,USA,https://vigilantcitizen.com/,conspiracy,,1.0,,5.0,3.0
viralnewsnetwork,1.0,0,,,,,,,,,
vox,3.0,0,Vox,USA (44/180 Press Freedom),https://www.vox.com/,left,left,3.0,Website,,
wakingtimes,1.0,0,Waking Times,USA,https://www.wakingtimes.com,conspiracy,,1.0,,4.0,5.0
washingtonexaminer,2.0,0,Washington Examiner,,https://www.washingtonexaminer.com/,right,right,2.0,,,
washingtonmonthly,4.0,0,Washington Monthly,USA (44/180 Press Freedom),https://washingtonmonthly.com,leftcenter,leftcenter,4.0,Magazine,,
washingtonpost,4.0,0,Washington Post,USA (45/180 Press Freedom),https://www.washingtonpost.com/,leftcenter,leftcenter,3.0,Newspaper,,
washingtontimes,2.0,0,Washington Times,USA (44/180 Press Freedom),https://www.washingtontimes.com/,questionable-source,rightcenter,2.0,Newspaper,,
wattsupwiththat,1.0,0,Watts Up with That,USA (44/180 Press Freedom),https://wattsupwiththat.com/,conspiracy,,1.0,Website,4.0,4.0
weareanonymous,0.0,0,We Are Anonymous/AnonHQ - Media Bias/Fact Check,Unknown,http://anonhq.com/,conspiracy,,0.0,,5.0,4.0
wearechange,2.0,0,We Are Change,USA,https://wearechange.org/,conspiracy,,2.0,,4.0,2.0
welovetrump,0.0,0,We Love Trump,USA (44/180 Press Freedom),,questionable-source,extremeright,0.0,Website,,
westernjournal,2.0,0,Western Journal,USA (45/180 Press Freedom),https://www.westernjournal.com/,questionable-source,right,2.0,Website,,
wingsoverscotland,4.0,0,Wings Over Scotland,United Kingdom (35/180 Press Freedom),https://wingsoverscotland.com,questionable-source,leftcenter,2.0,Website,,
worldnetdailywnd,1.0,0,World Net Daily (WND),USA (44/180 Press Freedom),https://www.wnd.com/,questionable-source,extremeright,1.0,Website,,
worldtruthtv,0.0,0,World Truth TV,USA,http://worldtruth.tv/,conspiracy,,0.0,,5.0,5.0
x22report,1.0,0,X22 Report,USA (44/180 Press Freedom),https://x22report.com,conspiracy,,1.0,Website,4.0,4.0
yahoonews,4.0,0,Yahoo News,USA (45/180 Press Freedom),https://news.yahoo.com/,leftcenter,leftcenter,4.0,Website,,
zerohedge,1.0,0,ZeroHedge,Bulgaria (111/180 Press Freedom),https://www.zerohedge.com/,conspiracy,,1.0,Website,4.0,4.0
usnews,4.0,0,US News World Report,USA (45/180 Press Freedom),https://www.usnews.com/,leftcenter,leftcenter,4.0,Magazine,,
telegraph,2.0,0,,,,,,,,,
seattletimes,4.0,0,Seattle Times,USA (44/180 Press Freedom),http://www.seattletimes.com/,leftcenter,leftcenter,4.0,Newspaper,,
conservativehome,4.0,0,Conservative Home,United Kingdom (33/180 Press Freedom),https://www.conservativehome.com/,right,rightcenter,4.0,Website,,
djhjmedia,1.0,0,DJHJ Media,USA (44/180 Press Freedom),https://djhjmedia.com/,questionable-source,extremeright,1.0,Website,,
lifesitenews,2.0,0,LifeSiteNews,Canada (14/180 Press Freedom),https://www.lifesitenews.com/,questionable-source,right,1.0,Website,,
sanjosemercurynews,4.0,0,San Jose Mercury News,USA (44/180 Press Freedom),https://www.mercurynews.com/,leftcenter,leftcenter,4.0,Newspaper,,
nationalobserver,4.0,0,National Observer (Canada),Canada,https://www.nationalobserver.com/,leftcenter,leftcenter,4.0,,,
gellerreport,0.0,0,Geller Report,USA (44/180 Press Freedom),https://gellerreport.com/,questionable-source,extremeright,1.0,Website,,
pravdareport,0.0,0,Pravda Report,Russia,https://www.pravdareport.com/,questionable-source,right,0.0,,,
savethemales,1.0,0,Henry Makow (savethemales.ca) - Media Bias/Fact Check,Canada (14/180 Press Freedom),https://www.savethemales.ca/,conspiracy,,1.0,Website,5.0,4.0
realnewsnetwork,4.0,0,Real News Network,USA (44/180 Press Freedom),https://therealnews.com/,left,left,4.0,Organization/Foundation,,
trendingpolitics,2.0,0,Trending Politics,USA (44/180 Press Freedom),https://trendingpolitics.com/,questionable-source,right,2.0,Website,,
vaccinesrevealed,0.0,0,Vaccines Revealed,USA (44/180 Press Freedom),https://vrevealed.com/,conspiracy,,0.0,Website,4.0,5.0
npr,5.0,0,National Public Radio,USA,https://www.npr.org/sections/news/,leftcenter,leftcenter,5.0,Radio Station,,
