source,factuality_old,pro-science,display_name,country,website,category,labels.bias,labels.factuality,media_type,labels.conspiracy,labels.pseudoscience
covertgeopolitics,2.0,0,Covert Geopolitics,USA (45/180 Press Freedom),https://geopolitics.co,conspiracy,,2.0,Website,5.0,4.0
crikey,4.0,0,Crikey,Australia,https://www.crikey.com.au/,left,left,4.0,,,
crooksandliars,3.0,0,Crooks and Liars,USA,https://crooksandliars.com,left,left,3.0,,,
csglobe,1.0,0,CS Globe,Unknown,http://csglobe.com/,conspiracy,,1.0,,4.0,4.0
curiousmindmagazine,1.0,0,Curious Mind Magazine,USA (44/180 Press Freedom),https://curiousmindmagazine.com/,conspiracy,,1.0,Website,2.0,5.0
dailybeast,3.0,0,Daily Beast,USA (45/180 Press Freedom),https://www.thedailybeast.com/,left,left,2.0,Website,,
dailybuzzlive,0.0,0,Daily Buzz Live,USA,http://dailybuzzlive.com/,questionable-source,,0.0,,,
dailycaller,2.0,0,Daily Caller,USA (45/180 Press Freedom),https://dailycaller.com,right,right,2.0,Website,,
dailygrail,2.0,0,Daily Grail,Australia,https://www.dailygrail.com,conspiracy,,2.0,,3.0,3.0
dailyhealthpost,1.0,0,DailyHealthPost,Canada,https://dailyhealthpost.com,conspiracy,,1.0,,4.0,5.0
dailyherald,4.0,0,Daily Herald,USA,https://www.dailyherald.com/,right-center,rightcenter,4.0,,,
dailykos,2.0,0,Daily Kos,USA (45/180 Press Freedom),https://www.dailykos.com/,left,left,2.0,Website,,
dailymail,1.0,0,Daily Mail,United Kingdom (35/180 Press Freedom),https://www.dailymail.co.uk,questionable-source,right,1.0,Newspaper,,
dailymirror,2.0,0,Daily Mirror,United Kingdom (33/180 Press Freedom),https://www.mirror.co.uk,leftcenter,leftcenter,2.0,Newspaper,,
dailyrecord,4.0,0,Daily Record,USA (45/180 Press Freedom),https://www.dailyrecord.com/,center,,4.0,Newspaper,,
dailysignal,3.0,0,Daily Signal,USA (45/180 Press Freedom),https://www.dailysignal.com/,right,right,3.0,Website,,
dailystormer,0.0,0,Daily Stormer,USA,https://dailystormer.name/,questionable-source,extremeright,0.0,,,
davidicke,0.0,0,David Icke,United Kingdom,https://www.davidicke.com/,conspiracy,,0.0,,5.0,5.0
dcgazette,1.0,0,DC Gazette,Unknown,https://dcgazette.com/,questionable-source,extremeright,1.0,,,
democracy21,4.0,0,Democracy 21,USA (44/180 Press Freedom),https://democracy21.org/,leftcenter,leftcenter,4.0,Organization/Foundation,,
democracynow,4.0,0,Democracy Now,USA (45/180 Press Freedom),https://www.democracynow.org/,left,left,4.0,"TV Station, Radio",,
denverpost,4.0,0,Denver Post,USA (44/180 Press Freedom),https://www.denverpost.com/,leftcenter,leftcenter,4.0,Newspaper,,
digg,3.0,0,Digg,USA,https://digg.com/,leftcenter,leftcenter,3.0,,,
digitaljournal,4.0,0,Digital Journal,,http://www.digitaljournal.com,center,,4.0,,,
discoveryinstitute,1.0,0,Discovery Institute,USA,https://www.discovery.org/,conspiracy,,1.0,,3.0,4.0
disobedientmedia,2.0,0,Disobedient Media,USA,https://disobedientmedia.com/,conspiracy,,2.0,,4.0,1.0
disrn,2.0,0,Disrn,USA (45/180 Press Freedom),https://disrn.com/,right,right,2.0,Website,,
doctorozcom,2.0,0,DoctorOz.com - Media Bias/Fact Check,USA,https://www.doctoroz.com/,conspiracy,,2.0,,2.0,5.0
eluxemagazine,2.0,0,Eluxe Magazine,,https://eluxemagazine.com,conspiracy,,2.0,,4.0,4.0
endthefed,1.0,0,End the Fed,USA,http://endthefed.org/,questionable-source,right,1.0,,,
endtimeheadlines,1.0,0,End Time Headlines,USA,https://endtimeheadlines.org/,conspiracy,,1.0,,4.0,4.0
environmentalworkinggroupewg,2.0,0,Environmental Working Group (EWG),USA (44/180 Press Freedom),https://www.ewg.org/,conspiracy,,2.0,Organization/Foundation,2.0,4.0
escapeallthesethings,1.0,0,Escape All These Things,USA (44/180 Press Freedom),https://escapeallthesethings.com/,conspiracy,,1.0,Website,5.0,3.0
evolutionnewsandviews,1.0,0,,,,,,,,,
faithpanda,2.0,0,Faith Panda,Kenya,http://www.faithpanda.com,conspiracy,,2.0,,1.0,3.0
familysurvivalheadlines,1.0,0,Family Survival Headlines,USA,http://familysurvivalheadlines.com/,questionable-source,right,2.0,,,
fellowshipoftheminds,1.0,0,Fellowship of the Minds,,https://fellowshipoftheminds.com,conspiracy,,1.0,,5.0,4.0
fivethirtyeight,4.0,0,FiveThirtyEight,USA (45/180 Press Freedom),https://fivethirtyeight.com/,leftcenter,leftcenter,4.0,Website,,
foodbabe,2.0,0,Food Babe,USA (45/180 Press Freedom),https://foodbabe.com/,conspiracy,,2.0,Website,1.0,5.0
forbes,,0,Forbes,USA (45/180 Press Freedom),https://www.forbes.com,right-center,rightcenter,3.0,Magazine,,
foreignpolicy,4.0,0,Foreign Policy,USA (45/180 Press Freedom),https://foreignpolicy.com/,center,,4.0,Magazine,,
foreverconscious,1.0,0,Forever Conscious,Unknown,https://foreverconscious.com,conspiracy,,1.0,,2.0,4.0
fortunemagazine,4.0,0,Fortune Magazine,USA (44/180 Press Freedom),http://fortune.com/,right-center,rightcenter,4.0,Magazine,,
foxnews,2.0,0,Fox News,USA (44/180 Press Freedom),https://www.foxnews.com/,right,right,2.0,TV Station,,
france24,4.0,0,France24,France (34/180 Press Freedom),https://www.france24.com/en,center,,4.0,TV Station,,
freedomainradio,2.0,0,Freedomain - Stephen Molyneux,Canada (14/180 Press Freedom),https://freedomainradio.com/,conspiracy,,1.0,Website,5.0,3.0
freedomdaily,1.0,0,,,,,,,,,
freedomoutpost,,0,,,,,,,,,
freethoughtproject,1.0,0,Free Thought Project,USA (44/180 Press Freedom),https://thefreethoughtproject.com/,conspiracy,,1.0,Website,4.0,3.0
fusion,4.0,0,Fusion,USA,https://fusion.tv/,leftcenter,leftcenter,4.0,Organization/Foundation,,
geoengineeringwatch,1.0,0,GeoEngineering Watch,USA,http://www.geoengineeringwatch.org/,conspiracy,,1.0,,5.0,5.0
getholistichealth,1.0,0,Get Holistic Health,Unknown,https://www.getholistichealth.com/,conspiracy,,1.0,,2.0,5.0
globalresearch,1.0,0,Global Research,Canada (16/180 Press Freedom),https://www.globalresearch.ca/,conspiracy,,1.0,Website,5.0,4.0
greenmedinfo,1.0,0,GreenMedInfo,USA (45/180 Press Freedom),https://www.greenmedinfo.com/,conspiracy,,1.0,Website,4.0,5.0
greenpeace,2.0,0,Greenpeace,Netherlands,https://www.greenpeace.org/,conspiracy,,2.0,,2.0,3.0
gulagbound,1.0,0,Gulag Bound,USA,http://gulagbound.com/,conspiracy,,1.0,,4.0,4.0
haarpnet,1.0,0,HAARP.net - Media Bias/Fact Check,USA,http://www.haarp.net/,conspiracy,,1.0,,5.0,5.0
hangthebankers,1.0,0,Hang the Bankers,Unknown,https://hangthebankers.com/,questionable-source,extremeright,1.0,,,
healingoracle,0.0,0,Healing Oracle,Unknown,https://healingoracle.ch/,conspiracy,,0.0,,2.0,5.0
healthimpactnews,1.0,0,Health Impact News,USA (44/180 Press Freedom),https://healthimpactnews.com/,conspiracy,,0.0,Website,2.0,5.0
